"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","Group.7","x"
"344",3,"Vida","S",14,"N",4,3,6
"345",3,"Hiline","C",12,"Y",4,3,7.2
"346",3,"Hiline","D",12,"Y",4,3,7.5
"347",3,"Hiline","F",12,"Y",4,3,7.2
"348",3,"Hiline","H",12,"Y",4,3,4.8
"349",3,"MTH","C",14,"Y",4,3,NA
"350",3,"Vida","C",14,"Y",4,3,6.9
"351",3,"MTH","D",14,"Y",4,3,6
"352",3,"Vida","D",14,"Y",4,3,NA
"353",3,"MTH","F",14,"Y",4,3,NA
"354",3,"Vida","F",14,"Y",4,3,7.5
"355",3,"MTH","S",14,"Y",4,3,8.3
"356",3,"Vida","S",14,"Y",4,3,7.8
"357",3,"Hiline","C",12,"N",5,3,5.2
"358",3,"Hiline","D",12,"N",5,3,7
"359",3,"Hiline","F",12,"N",5,3,NA
"360",3,"Hiline","H",12,"N",5,3,6
"361",3,"Hiline","S",12,"N",5,3,6.3
"362",3,"Vida","C",14,"N",5,3,NA
"363",3,"MTH","D",14,"N",5,3,8.5
"364",3,"MTH","F",14,"N",5,3,9.2
"365",3,"Vida","F",14,"N",5,3,7.7
"366",3,"MTH","H",14,"N",5,3,8.9
"367",3,"Vida","H",14,"N",5,3,8
"368",3,"MTH","S",14,"N",5,3,7.7
"369",3,"Vida","S",14,"N",5,3,7.2
"370",3,"Hiline","C",12,"Y",5,3,4.3
"371",3,"Hiline","F",12,"Y",5,3,7
"372",3,"Hiline","S",12,"Y",5,3,NA
"373",3,"MTH","C",14,"Y",5,3,5
"374",3,"Vida","C",14,"Y",5,3,4.1
"375",3,"MTH","D",14,"Y",5,3,8.5
"376",3,"Vida","D",14,"Y",5,3,4
"377",3,"MTH","F",14,"Y",5,3,5
"378",3,"Vida","F",14,"Y",5,3,5.5
"379",3,"MTH","H",14,"Y",5,3,5.5
"380",3,"Vida","H",14,"Y",5,3,3.4
"381",3,"MTH","S",14,"Y",5,3,NA
"382",3,"Vida","S",14,"Y",5,3,NA
"383",3,"Hiline","C",12,"N",1,4,7.5
"384",3,"Hiline","D",12,"N",1,4,5.1
"385",3,"Hiline","F",12,"N",1,4,6
"386",3,"Hiline","H",12,"N",1,4,6.2
"387",3,"MTH","C",14,"N",1,4,8.5
"388",3,"Vida","C",14,"N",1,4,6.8
"389",3,"MTH","D",14,"N",1,4,NA
"390",3,"Vida","D",14,"N",1,4,6.6
"391",3,"MTH","H",14,"N",1,4,9
"392",3,"Vida","H",14,"N",1,4,7
"393",3,"MTH","S",14,"N",1,4,10.3
"394",3,"Vida","S",14,"N",1,4,8
"395",3,"Hiline","C",12,"Y",1,4,4
"396",3,"Hiline","D",12,"Y",1,4,4.7
"397",3,"Hiline","F",12,"Y",1,4,6.3
"398",3,"Hiline","H",12,"Y",1,4,7.2
"399",3,"Hiline","S",12,"Y",1,4,3.6
"400",3,"MTH","C",14,"Y",1,4,3
"401",3,"Vida","C",14,"Y",1,4,NA
"402",3,"Vida","F",14,"Y",1,4,NA
"403",3,"MTH","H",14,"Y",1,4,9.2
"404",3,"Vida","H",14,"Y",1,4,5.1
"405",3,"MTH","S",14,"Y",1,4,NA
"406",3,"Vida","S",14,"Y",1,4,7
"407",3,"Hiline","C",12,"N",2,4,5.7
"408",3,"Hiline","D",12,"N",2,4,NA
"409",3,"Hiline","F",12,"N",2,4,NA
"410",3,"Hiline","H",12,"N",2,4,7.8
"411",3,"Hiline","S",12,"N",2,4,5.2
"412",3,"MTH","C",14,"N",2,4,7
"413",3,"MTH","D",14,"N",2,4,8.8
"414",3,"Vida","D",14,"N",2,4,5.5
"415",3,"MTH","F",14,"N",2,4,6.5
"416",3,"Vida","F",14,"N",2,4,NA
"417",3,"MTH","H",14,"N",2,4,10
"418",3,"Vida","H",14,"N",2,4,5.8
"419",3,"Hiline","F",12,"Y",2,4,3.3
"420",3,"Hiline","H",12,"Y",2,4,4.1
"421",3,"Hiline","S",12,"Y",2,4,4
"422",3,"MTH","C",14,"Y",2,4,NA
"423",3,"Vida","C",14,"Y",2,4,4.5
"424",3,"Vida","D",14,"Y",2,4,4.9
"425",3,"MTH","S",14,"Y",2,4,5.5
"426",3,"Hiline","C",12,"N",3,4,4.5
"427",3,"Hiline","D",12,"N",3,4,5.7
