"","Rep","Line","BL","Chamber","Stress","Plant","Spike","SpikeLength"
"291",1,"Berkut","C",14,"N",4,2,11
"292",1,"Hiline","C",14,"N",4,2,NA
"293",1,"MTH","D",14,"N",4,2,7.5
"294",1,"Vida","D",14,"N",4,2,NA
"295",1,"Berkut","F",14,"N",4,2,10.4
"296",1,"MTH","F",14,"N",4,2,8.1
"297",1,"Hiline","H",14,"N",4,2,6.7
"298",1,"Vida","H",14,"N",4,2,6.3
"299",1,"Berkut","C",12,"Y",4,2,NA
"300",1,"Hiline","C",12,"Y",4,2,8
"301",1,"MTH","D",12,"Y",4,2,6.2
"302",1,"Vida","D",12,"Y",4,2,8
"303",1,"Berkut","F",12,"Y",4,2,NA
"304",1,"MTH","F",12,"Y",4,2,NA
"305",1,"Hiline","H",12,"Y",4,2,4.9
"306",1,"Hiline","S",12,"Y",4,2,3.7
"307",1,"MTH","C",14,"Y",4,2,3.6
"308",1,"Hiline","D",14,"Y",4,2,NA
"309",1,"Hiline","F",14,"Y",4,2,7.9
"310",1,"Vida","F",14,"Y",4,2,7.4
"311",1,"Berkut","H",14,"Y",4,2,8.7
"312",1,"MTH","H",14,"Y",4,2,NA
"313",1,"Berkut","S",14,"Y",4,2,NA
"314",1,"MTH","S",14,"Y",4,2,9
"315",1,"MTH","C",12,"N",5,2,6.3
"316",1,"Vida","C",12,"N",5,2,NA
"317",1,"Berkut","D",12,"N",5,2,7.2
"318",1,"Hiline","D",12,"N",5,2,7.8
"319",1,"Hiline","F",12,"N",5,2,9.3
"320",1,"Vida","F",12,"N",5,2,9
"321",1,"Berkut","H",12,"N",5,2,NA
"322",1,"MTH","H",12,"N",5,2,5.6
"323",1,"Berkut","S",12,"N",5,2,9.6
"324",1,"Vida","S",12,"N",5,2,9.6
"325",1,"MTH","D",14,"N",5,2,NA
"326",1,"Berkut","F",14,"N",5,2,8.5
"327",1,"MTH","F",14,"N",5,2,8.3
"328",1,"Hiline","H",14,"N",5,2,6.4
"329",1,"Vida","H",14,"N",5,2,7.1
"330",1,"Hiline","S",14,"N",5,2,6.8
"331",1,"Berkut","C",12,"Y",5,2,NA
"332",1,"Hiline","C",12,"Y",5,2,5
"333",1,"MTH","D",12,"Y",5,2,6.2
"334",1,"Berkut","F",12,"Y",5,2,9
"335",1,"MTH","F",12,"Y",5,2,3.8
"336",1,"Hiline","H",12,"Y",5,2,8
"337",1,"Vida","H",12,"Y",5,2,6.5
"338",1,"Hiline","S",12,"Y",5,2,6.2
"339",1,"MTH","C",14,"Y",5,2,NA
"340",1,"Vida","C",14,"Y",5,2,10.8
"341",1,"Berkut","D",14,"Y",5,2,9.8
"342",1,"Hiline","D",14,"Y",5,2,4
"343",1,"Hiline","F",14,"Y",5,2,NA
"344",1,"Vida","F",14,"Y",5,2,3
"345",1,"Berkut","H",14,"Y",5,2,7
"346",1,"Berkut","S",14,"Y",5,2,8.5
"347",1,"Vida","S",14,"Y",5,2,6
"348",1,"MTH","C",12,"N",1,3,5.5
"349",1,"Hiline","D",12,"N",1,3,8.4
"350",1,"Hiline","F",12,"N",1,3,8.7
"351",1,"Vida","F",12,"N",1,3,6.2
"352",1,"Berkut","H",12,"N",1,3,NA
"353",1,"MTH","H",12,"N",1,3,6.3
"354",1,"Berkut","S",12,"N",1,3,NA
"355",1,"MTH","S",12,"N",1,3,7
"356",1,"Vida","S",12,"N",1,3,8.5
"357",1,"Hiline","C",14,"N",1,3,8.4
"358",1,"Vida","D",14,"N",1,3,6.2
"359",1,"Berkut","F",14,"N",1,3,8
"360",1,"Hiline","H",14,"N",1,3,7.2
"361",1,"Vida","H",14,"N",1,3,7.3
"362",1,"Hiline","C",12,"Y",1,3,9.4
"363",1,"Vida","D",12,"Y",1,3,NA
"364",1,"Berkut","F",12,"Y",1,3,NA
"365",1,"MTH","F",12,"Y",1,3,NA
"366",1,"Hiline","H",12,"Y",1,3,8.9
"367",1,"Vida","H",12,"Y",1,3,8.7
"368",1,"Hiline","S",12,"Y",1,3,3.4
"369",1,"MTH","C",14,"Y",1,3,NA
"370",1,"Vida","C",14,"Y",1,3,NA
"371",1,"Berkut","D",14,"Y",1,3,7
"372",1,"Hiline","D",14,"Y",1,3,3.5
"373",1,"Hiline","F",14,"Y",1,3,NA
"374",1,"Vida","F",14,"Y",1,3,NA
"375",1,"Berkut","H",14,"Y",1,3,7
"376",1,"MTH","H",14,"Y",1,3,NA
"377",1,"Berkut","S",14,"Y",1,3,9
"378",1,"MTH","S",14,"Y",1,3,8.8
"379",1,"Vida","S",14,"Y",1,3,NA
"380",1,"MTH","C",12,"N",2,3,6.8
"381",1,"Vida","C",12,"N",2,3,NA
"382",1,"Hiline","D",12,"N",2,3,8.5
"383",1,"Hiline","F",12,"N",2,3,9.5
"384",1,"Berkut","H",12,"N",2,3,9.3
"385",1,"MTH","H",12,"N",2,3,6.2
"386",1,"Berkut","S",12,"N",2,3,8
"387",1,"Vida","S",12,"N",2,3,8.3
"388",1,"Berkut","C",14,"N",2,3,8.5
"389",1,"Hiline","C",14,"N",2,3,NA
"390",1,"MTH","D",14,"N",2,3,7.8
"391",1,"Vida","D",14,"N",2,3,7.1
"392",1,"Berkut","F",14,"N",2,3,8.3
"393",1,"MTH","F",14,"N",2,3,8.3
"394",1,"Hiline","H",14,"N",2,3,7.5
"395",1,"Vida","H",14,"N",2,3,8.5
"396",1,"Hiline","S",14,"N",2,3,6.1
"397",1,"Hiline","C",12,"Y",2,3,NA
"398",1,"MTH","D",12,"Y",2,3,NA
"399",1,"Vida","D",12,"Y",2,3,4.2
"400",1,"Berkut","F",12,"Y",2,3,3.5
"401",1,"MTH","F",12,"Y",2,3,NA
"402",1,"Hiline","H",12,"Y",2,3,8.9
"403",1,"Vida","H",12,"Y",2,3,5.7
"404",1,"MTH","C",14,"Y",2,3,8.3
"405",1,"Vida","C",14,"Y",2,3,NA
"406",1,"Berkut","D",14,"Y",2,3,7
"407",1,"Hiline","D",14,"Y",2,3,4.4
"408",1,"Hiline","F",14,"Y",2,3,7
"409",1,"Vida","F",14,"Y",2,3,NA
"410",1,"MTH","H",14,"Y",2,3,NA
"411",1,"Berkut","S",14,"Y",2,3,9.2
"412",1,"Vida","S",14,"Y",2,3,7.2
"413",1,"MTH","C",12,"N",3,3,6.4
"414",1,"Vida","C",12,"N",3,3,NA
"415",1,"Berkut","D",12,"N",3,3,8.2
"416",1,"Hiline","D",12,"N",3,3,9
"417",1,"Hiline","F",12,"N",3,3,7.4
"418",1,"Vida","F",12,"N",3,3,7.5
"419",1,"MTH","H",12,"N",3,3,5.9
"420",1,"MTH","S",12,"N",3,3,9
"421",1,"Berkut","C",14,"N",3,3,8
"422",1,"Hiline","C",14,"N",3,3,NA
"423",1,"MTH","D",14,"N",3,3,8.6
"424",1,"Vida","D",14,"N",3,3,8
"425",1,"Berkut","F",14,"N",3,3,9
"426",1,"MTH","F",14,"N",3,3,8.6
"427",1,"Hiline","H",14,"N",3,3,6.3
"428",1,"Vida","H",14,"N",3,3,8
"429",1,"Hiline","S",14,"N",3,3,6.7
"430",1,"Hiline","C",12,"Y",3,3,6.5
"431",1,"MTH","D",12,"Y",3,3,3
"432",1,"Vida","D",12,"Y",3,3,NA
"433",1,"Berkut","F",12,"Y",3,3,10
"434",1,"MTH","F",12,"Y",3,3,5.1
"435",1,"Hiline","H",12,"Y",3,3,8.2
"436",1,"Vida","H",12,"Y",3,3,5.3
"437",1,"MTH","C",14,"Y",3,3,NA
"438",1,"Vida","C",14,"Y",3,3,6
"439",1,"Hiline","D",14,"Y",3,3,7
"440",1,"Hiline","F",14,"Y",3,3,6.6
"441",1,"Vida","F",14,"Y",3,3,8.9
"442",1,"Berkut","H",14,"Y",3,3,9
"443",1,"MTH","H",14,"Y",3,3,NA
"444",1,"Berkut","S",14,"Y",3,3,8
"445",1,"MTH","S",14,"Y",3,3,4.5
"446",1,"Vida","S",14,"Y",3,3,8.6
"447",1,"MTH","C",12,"N",4,3,6.2
"448",1,"Vida","C",12,"N",4,3,8.4
"449",1,"Berkut","D",12,"N",4,3,8.5
"450",1,"Hiline","D",12,"N",4,3,8.6
"451",1,"Vida","F",12,"N",4,3,NA
"452",1,"Berkut","H",12,"N",4,3,9.4
"453",1,"MTH","H",12,"N",4,3,6.1
"454",1,"Berkut","S",12,"N",4,3,8.5
"455",1,"MTH","S",12,"N",4,3,7.6
"456",1,"Berkut","C",14,"N",4,3,9.7
"457",1,"Hiline","C",14,"N",4,3,NA
"458",1,"MTH","D",14,"N",4,3,8.8
"459",1,"Vida","D",14,"N",4,3,6.5
"460",1,"Berkut","F",14,"N",4,3,7.6
"461",1,"MTH","F",14,"N",4,3,7.9
"462",1,"Hiline","H",14,"N",4,3,6.9
"463",1,"Vida","H",14,"N",4,3,6.1
"464",1,"Hiline","C",12,"Y",4,3,8
"465",1,"MTH","D",12,"Y",4,3,3.4
"466",1,"Vida","D",12,"Y",4,3,NA
"467",1,"Berkut","F",12,"Y",4,3,NA
"468",1,"MTH","F",12,"Y",4,3,NA
"469",1,"Hiline","H",12,"Y",4,3,5.5
"470",1,"Hiline","S",12,"Y",4,3,4
"471",1,"MTH","C",14,"Y",4,3,8.1
"472",1,"Hiline","D",14,"Y",4,3,NA
"473",1,"Hiline","F",14,"Y",4,3,6.9
"474",1,"Vida","F",14,"Y",4,3,5.3
"475",1,"Berkut","H",14,"Y",4,3,7.1
"476",1,"MTH","H",14,"Y",4,3,NA
"477",1,"Berkut","S",14,"Y",4,3,10.6
"478",1,"MTH","S",14,"Y",4,3,4.2
"479",1,"Vida","S",14,"Y",4,3,7.2
"480",1,"MTH","C",12,"N",5,3,6.8
"481",1,"Vida","C",12,"N",5,3,NA
"482",1,"Berkut","D",12,"N",5,3,NA
"483",1,"Hiline","D",12,"N",5,3,7.1
"484",1,"Hiline","F",12,"N",5,3,NA
"485",1,"Vida","F",12,"N",5,3,NA
"486",1,"Berkut","H",12,"N",5,3,7.6
"487",1,"MTH","H",12,"N",5,3,5
"488",1,"Berkut","S",12,"N",5,3,9.1
"489",1,"Vida","S",12,"N",5,3,10.3
"490",1,"MTH","D",14,"N",5,3,9.3
"491",1,"Berkut","F",14,"N",5,3,9.5
"492",1,"MTH","F",14,"N",5,3,8.9
"493",1,"Hiline","H",14,"N",5,3,5.6
"494",1,"Vida","H",14,"N",5,3,6.8
"495",1,"Hiline","S",14,"N",5,3,NA
"496",1,"Hiline","C",12,"Y",5,3,6.5
"497",1,"MTH","D",12,"Y",5,3,NA
"498",1,"Berkut","F",12,"Y",5,3,NA
"499",1,"MTH","F",12,"Y",5,3,NA
"500",1,"Hiline","H",12,"Y",5,3,8.5
"501",1,"Vida","H",12,"Y",5,3,6.5
"502",1,"Hiline","S",12,"Y",5,3,7.1
"503",1,"MTH","C",14,"Y",5,3,2.2
"504",1,"Vida","C",14,"Y",5,3,9
"505",1,"Berkut","D",14,"Y",5,3,9.9
"506",1,"Hiline","D",14,"Y",5,3,5.6
"507",1,"Hiline","F",14,"Y",5,3,4.1
"508",1,"Vida","F",14,"Y",5,3,5.4
"509",1,"Berkut","H",14,"Y",5,3,9.7
"510",1,"Berkut","S",14,"Y",5,3,8.6
"511",1,"Vida","S",14,"Y",5,3,8.5
"512",1,"Hiline","D",12,"N",1,4,7.6
"513",1,"Hiline","F",12,"N",1,4,8.6
"514",1,"Vida","F",12,"N",1,4,8.7
"515",1,"Berkut","H",12,"N",1,4,NA
"516",1,"MTH","H",12,"N",1,4,6.9
"517",1,"Berkut","S",12,"N",1,4,NA
"518",1,"MTH","S",12,"N",1,4,8.8
"519",1,"Vida","S",12,"N",1,4,NA
"520",1,"Hiline","C",14,"N",1,4,6.9
"521",1,"Vida","D",14,"N",1,4,7.2
"522",1,"Berkut","F",14,"N",1,4,9.2
"523",1,"Hiline","H",14,"N",1,4,NA
"524",1,"Vida","H",14,"N",1,4,6.5
"525",1,"Hiline","C",12,"Y",1,4,8.1
"526",1,"Vida","D",12,"Y",1,4,NA
"527",1,"MTH","F",12,"Y",1,4,7.2
"528",1,"Hiline","H",12,"Y",1,4,8.6
"529",1,"Vida","H",12,"Y",1,4,NA
"530",1,"MTH","C",14,"Y",1,4,7.2
"531",1,"Vida","C",14,"Y",1,4,NA
"532",1,"Berkut","D",14,"Y",1,4,NA
"533",1,"Hiline","D",14,"Y",1,4,NA
"534",1,"Hiline","F",14,"Y",1,4,NA
"535",1,"Vida","F",14,"Y",1,4,6
"536",1,"MTH","H",14,"Y",1,4,NA
"537",1,"Berkut","S",14,"Y",1,4,9
"538",1,"MTH","S",14,"Y",1,4,4.2
"539",1,"Vida","S",14,"Y",1,4,NA
"540",1,"MTH","C",12,"N",2,4,6
"541",1,"Vida","C",12,"N",2,4,8.3
"542",1,"Hiline","F",12,"N",2,4,NA
